id,dicttype_id,key,value,order
1,1,男,男,3
2,1,女,女,2
3,2,个人,个人,1
4,2,企业,企业,2
5,3,内宾散客,内宾散客,1
6,3,台裔散客,台裔散客,2
7,3,外籍散客,外籍散客,3
8,3,大陆学生,大陆学生,4
9,3,台裔学生,台裔学生,5
10,3,外籍学生,外籍学生,6
11,3,内资公司,内资公司,7
12,3,台资公司,台资公司,8
13,3,外资公司,外资公司,9
14,3,旅行社,旅行社,10
15,3,机票代理,机票代理,11
16,3,学校,学校,12
17,3,公司员工,公司员工,13
18,3,航空公司员工,航空公司员工,14
19,3,机关协会,机关协会,15
20,3,使馆,使馆,16
21,4,客人介绍,客人介绍,1
22,4,上门客人,上门客人,2
23,4,传真开发,传真开发,3
24,4,登门拜访,登门拜访,4
25,4,电邮开发,电邮开发,5
26,4,网络推广,网络推广,6
27,4,其他,其他,7
28,5,现结,现结,1
29,5,月结,月结,2
30,6,CN,CN,1
31,6,TW,TW,2
32,6,US,US,3
33,6,CA,CA,4
34,6,HK,HK,5
35,7,北京,北京,1
36,7,上海,上海,2
37,7,台湾,台湾,3
38,7,成都,成都,4
39,7,深圳,深圳,5
40,8,手机,手机,1
41,8,座机,座机,2
42,9,送票,送票,1
43,9,家庭,家庭,2
44,9,工作,工作,3
46,10,CA,CA,1
47,10,AC,AC,2
48,10,CX,CX,3
49,10,CI,CI,4
50,10,BR,BR,5
51,10,UA,UA,6
52,10,HU,HU,7
53,10,MU,MU,8
54,10,KA,KA,9
55,10,CZ,CZ,10
56,10,NX,NX,11
57,10,LH,LH,12
58,10,SQ,SQ,13
59,10,TG,TG,14
60,10,NW,NW,15
61,10,CO,CO,16
62,10,AA,AA,17
63,11,身份证,身份证,1
64,11,护照,护照,2
65,11,台胞证,台胞证,3
66,11,军官证,军官证,4
67,12,M,M,1
68,12,F,F,2
